sat ,(   (define-fun G () String     "c")   (define-fun I () String     "cdfA")   (define-fun B () String     "Adcbbfcfcb")   (define-fun F () String     "cdfedbcfgafbc") ) 
sat ,(   (define-fun J () String     "")   (define-fun B () String     "fdhi")   (define-fun M () String     "cbah")   (define-fun A () String     "efhahcc") ) 
sat ,(   (define-fun G () String     "a")   (define-fun F () String     "A")   (define-fun C () String     "Aaa") ) 
sat ,(   (define-fun E () String     "")   (define-fun G () String     "")   (define-fun J () String     "eecggbabgdfdbdcdcgdcegbceg") ) 
sat ,(   (define-fun B () String     "bicdj")   (define-fun A () String     "gdcabf") ) 
sat ,(   (define-fun I () String     "dd")   (define-fun G () String     "")   (define-fun J () String     "") ) 
sat ,(   (define-fun A () String     "cacabababbccbaacccabcaaabccabcbbcbcbbaa")   (define-fun D () String     "c") ) 
sat ,(   (define-fun B () String     "")   (define-fun C () String     "")   (define-fun I () String     "ccdbbcbeddebcee") ) 
sat ,(   (define-fun B () String     "ebceedebceeeeaebcdbceaacdbcbbd") ) 
sat ,(   (define-fun L () String     "\u{80}iffhagghhhbaf")   (define-fun D () String     "hhhhcahiigibhiehdgcgacihfifdh\u{80}")   (define-fun A () String     "h") ) 
sat ,(   (define-fun J () String     "bcaaacabbacccbbbbaabccacbbaa")   (define-fun N () String     "c")   (define-fun L () String     "")   (define-fun M () String     "")   (define-fun H () String     "")   (define-fun D () String     "") ) 
sat ,(   (define-fun G () String     "")   (define-fun J () String     "dadbcceecbbebbA")   (define-fun I () String     "")   (define-fun C () String     "Aedbbedaaaecdeaabedeabab") ) 
sat ,(   (define-fun I () String     "deeaeccgeb")   (define-fun A () String     "c")   (define-fun D () String     "fegebdbagddaadbddcaeeebfabfefabfacdgcgaabg") ) 
sat ,(   (define-fun B () String     "")   (define-fun A () String     "a") ) 
sat ,(   (define-fun J () String     "b")   (define-fun B () String     "gdfebffacg")   (define-fun I () String     "gcedace")   (define-fun E () String     "fbffgbegacfdbd") ) 
sat ,(   (define-fun M () String     "")   (define-fun G () String     "")   (define-fun N () String     "cbaedeecaebedea") ) 
sat ,(   (define-fun E () String     "!1!")   (define-fun H () String     "!0!")   (define-fun C () String     "fh!0!cfeb!1!")   (define-fun D () String     "") ) 
sat ,(   (define-fun A () String     "hhafcdaeefdbcdaegea")   (define-fun D () String     "bg") ) 
sat ,(   (define-fun G () String     "Agiicjegjjbeiidhebbgi")   (define-fun J () String     "bfcgecjfaA")   (define-fun H () String     "") ) 
sat ,(   (define-fun F () String     "")   (define-fun A () String     "ebcaeccedbedefbfdgbagebcbfacgadbefcffcgceeedd")   (define-fun B () String     "") ) 
