slog_stranger_1001_sink.smt2.log:unsat ,(error "Cannot get model unless after a SAT or UNKNOWN response.") 
slog_stranger_1002_sink.smt2.log:unsat ,(error "Cannot get model unless after a SAT or UNKNOWN response.") 
slog_stranger_1003_sink.smt2.log:sat ,( (define-fun sigmaStar_0 () String "\u{5c}<SCRIPT") (define-fun literal_8 () String "<a target=""empty"" href=""http://:/?win=beep&amp;beep=&chat_sid=") (define-fun x_7 () String "\u{5c}<SCRIPT") (define-fun x_9 () String "<a target=""empty"" href=""http://:/?win=beep&amp;beep=&chat_sid=\u{5c}<SCRIPT") (define-fun literal_10 () String """>") (define-fun x_11 () String "<a target=""empty"" href=""http://:/?win=beep&amp;beep=&chat_sid=\u{5c}<SCRIPT"">") (define-fun literal_12 () String "</a>\u{5c}n") (define-fun x_13 () String "<a target=""empty"" href=""http://:/?win=beep&amp;beep=&chat_sid=\u{5c}<SCRIPT""></a>\u{5c}n") ) 
slog_stranger_1006_sink.smt2.log:unsat ,(error "Cannot get model unless after a SAT or UNKNOWN response.") 
slog_stranger_1007_sink.smt2.log:unsat ,(error "Cannot get model unless after a SAT or UNKNOWN response.") 
slog_stranger_1008_sink.smt2.log:unsat ,(error "Cannot get model unless after a SAT or UNKNOWN response.") 
slog_stranger_1009_sink.smt2.log:unsat ,(error "Cannot get model unless after a SAT or UNKNOWN response.") 
slog_stranger_1010_sink.smt2.log:unsat ,(error "Cannot get model unless after a SAT or UNKNOWN response.") 
slog_stranger_1011_sink.smt2.log:unsat ,(error "Cannot get model unless after a SAT or UNKNOWN response.") 
slog_stranger_1012_sink.smt2.log:unsat ,(error "Cannot get model unless after a SAT or UNKNOWN response.") 
slog_stranger_1013_sink.smt2.log:sat ,( (define-fun sigmaStar_0 () String "\u{5c}<SCRIPT") (define-fun literal_1 () String "<td align=\u{5c}""center\u{5c}"">") (define-fun x_2 () String "<td align=\u{5c}""center\u{5c}"">\u{5c}<SCRIPT") (define-fun literal_3 () String "</td>") (define-fun x_4 () String "<td align=\u{5c}""center\u{5c}"">\u{5c}<SCRIPT</td>") ) 
