noree-query10041.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query10112.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query10295.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query10584.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,=
noree-query10608.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,=
noree-query10611.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query10629.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,=
noree-query10634.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,=
noree-query10642.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,=
noree-query10650.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query10657.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,=
noree-query10663.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,=
noree-query10669.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,=
noree-query10675.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,=
noree-query10680.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,=
noree-query10681.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query10682.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query10684.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,=
noree-query3111.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query3189.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query3214.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query3231.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query3252.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query3316.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query3323.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query3332.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query3336.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query3356.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query3423.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query3424.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query3444.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
noree-query3449.smt2, str.to_re,str.in_re,str.++,re.allchar,re.++,re.*,not,and,=
