instance00022.smt2, str.to_re,str.in_re,not,and
instance00049.smt2, str.to_re,str.in_re,not,and
instance00052.smt2, str.to_re,str.in_re,not,and
instance00055.smt2, str.to_re,str.in_re,not,and
instance00064.smt2, str.to_re,str.in_re,and
instance00073.smt2, str.to_re,str.in_re,and
instance00075.smt2, str.to_re,str.in_re,not,and
instance00076.smt2, str.to_re,str.in_re,not,and
instance00079.smt2, str.to_re,str.in_re,and
instance00086.smt2, str.to_re,str.in_re,and
instance00089.smt2, str.to_re,str.in_re,not,and
instance00097.smt2, str.to_re,str.in_re,not,and
instance00106.smt2, str.to_re,str.in_re,and
instance00115.smt2, str.to_re,str.in_re,not,and
instance00141.smt2, str.to_re,str.in_re,and
instance00154.smt2, str.to_re,str.in_re,and
instance00159.smt2, str.to_re,str.in_re,and
instance00180.smt2, str.to_re,str.in_re,and
instance00185.smt2, str.to_re,str.in_re,and
instance00186.smt2, str.to_re,str.in_re,and
instance00209.smt2, str.to_re,str.in_re,and
instance00214.smt2, str.to_re,str.in_re,and
instance00217.smt2, str.to_re,str.in_re,and
instance00219.smt2, str.to_re,str.in_re,not,and
instance00228.smt2, str.to_re,str.in_re,and
instance00248.smt2, str.to_re,str.in_re,and
instance00259.smt2, str.to_re,str.in_re,not,and
instance00285.smt2, str.to_re,str.in_re,not,and
instance00294.smt2, str.to_re,str.in_re,not,and
instance00302.smt2, str.to_re,str.in_re,and
instance00316.smt2, str.to_re,str.in_re,and
instance00323.smt2, str.to_re,str.in_re,not,and
instance00328.smt2, str.to_re,str.in_re,not,and
instance00332.smt2, str.to_re,str.in_re,not,and
instance00339.smt2, str.to_re,str.in_re,not,and
instance00349.smt2, str.to_re,str.in_re,and
instance00355.smt2, str.to_re,str.in_re,and
instance00363.smt2, str.to_re,str.in_re,not,and
instance00375.smt2, str.to_re,str.in_re,not,and
instance00380.smt2, str.to_re,str.in_re,and
instance00394.smt2, str.to_re,str.in_re,and
instance00398.smt2, str.to_re,str.in_re,not,and
instance00400.smt2, str.to_re,str.in_re,and
instance00404.smt2, str.to_re,str.in_re,not,and
instance00406.smt2, str.to_re,str.in_re,and
instance00418.smt2, str.to_re,str.in_re,not,and
instance00430.smt2, str.to_re,str.in_re,and
instance00435.smt2, str.to_re,str.in_re,not,and
instance00463.smt2, str.to_re,str.in_re,not,and
instance00470.smt2, str.to_re,str.in_re,not,and
instance00476.smt2, str.to_re,str.in_re,and
instance00480.smt2, str.to_re,str.in_re,not,and
instance00481.smt2, str.to_re,str.in_re,and
instance00492.smt2, str.to_re,str.in_re,and
instance00495.smt2, str.to_re,str.in_re,and
instance00496.smt2, str.to_re,str.in_re,and
instance00497.smt2, str.to_re,str.in_re,not,and
instance00501.smt2, str.to_re,str.in_re,not,and
instance00519.smt2, str.to_re,str.in_re,and
instance00525.smt2, str.to_re,str.in_re,not,and
instance00530.smt2, str.to_re,str.in_re,and
instance00538.smt2, str.to_re,str.in_re,not,and
instance00586.smt2, str.to_re,str.in_re,and
instance00588.smt2, str.to_re,str.in_re,not,and
instance00609.smt2, str.to_re,str.in_re,and
instance00611.smt2, str.to_re,str.in_re,and
instance00617.smt2, str.to_re,str.in_re,and
instance00630.smt2, str.to_re,str.in_re,not,and
instance00640.smt2, str.to_re,str.in_re,and
instance00642.smt2, str.to_re,str.in_re,and
instance00647.smt2, str.to_re,str.in_re,and
instance00660.smt2, str.to_re,str.in_re,not,and
instance00661.smt2, str.to_re,str.in_re,and
instance00676.smt2, str.to_re,str.in_re,not,and
instance00677.smt2, str.to_re,str.in_re,not,and
instance00679.smt2, str.to_re,str.in_re,not,and
instance00686.smt2, str.to_re,str.in_re,and
instance00689.smt2, str.to_re,str.in_re,not,and
instance00713.smt2, str.to_re,str.in_re,not,and
instance00714.smt2, str.to_re,str.in_re,not,and
instance00715.smt2, str.to_re,str.in_re,not,and
instance00722.smt2, str.to_re,str.in_re,and
instance00730.smt2, str.to_re,str.in_re,not,and
instance00731.smt2, str.to_re,str.in_re,not,and
instance00740.smt2, str.to_re,str.in_re,and
instance00742.smt2, str.to_re,str.in_re,and
instance00765.smt2, str.to_re,str.in_re,not,and
instance00774.smt2, str.to_re,str.in_re,and
instance00776.smt2, str.to_re,str.in_re,not,and
instance00777.smt2, str.to_re,str.in_re,not,and
instance00782.smt2, str.to_re,str.in_re,not,and
instance00784.smt2, str.to_re,str.in_re,and
instance00793.smt2, str.to_re,str.in_re,not,and
instance00801.smt2, str.to_re,str.in_re,not,and
instance00804.smt2, str.to_re,str.in_re,not,and
instance00820.smt2, str.to_re,str.in_re,not,and
instance00827.smt2, str.to_re,str.in_re,and
instance00845.smt2, str.to_re,str.in_re,not,and
instance00847.smt2, str.to_re,str.in_re,and
instance00859.smt2, str.to_re,str.in_re,not,and
instance00860.smt2, str.to_re,str.in_re,not,and
instance00861.smt2, str.to_re,str.in_re,not,and
instance00862.smt2, str.to_re,str.in_re,and
instance00865.smt2, str.to_re,str.in_re,not,and
instance00883.smt2, str.to_re,str.in_re,not,and
instance00901.smt2, str.to_re,str.in_re,not,and
instance00905.smt2, str.to_re,str.in_re,and
instance00907.smt2, str.to_re,str.in_re,not,and
instance00918.smt2, str.to_re,str.in_re,and
instance00923.smt2, str.to_re,str.in_re,not,and
instance00935.smt2, str.to_re,str.in_re,and
instance00938.smt2, str.to_re,str.in_re,not,and
instance00948.smt2, str.to_re,str.in_re,not,and
instance00952.smt2, str.to_re,str.in_re,and
instance00956.smt2, str.to_re,str.in_re,not,and
instance00957.smt2, str.to_re,str.in_re,not,and
instance00961.smt2, str.to_re,str.in_re,and
instance00970.smt2, str.to_re,str.in_re,and
instance00977.smt2, str.to_re,str.in_re,not,and
instance00985.smt2, str.to_re,str.in_re,not,and
instance00986.smt2, str.to_re,str.in_re,not,and
instance00993.smt2, str.to_re,str.in_re,not,and
instance01014.smt2, str.to_re,str.in_re,and
